iter	RMSE
0	20.21728592
1	19.68317388
2	19.14989268
3	18.64545888
4	18.13857692
5	17.65016761
6	17.19647262
7	16.73905265
8	16.29128629
9	15.85633692
10	15.47246112
11	15.0748105
12	14.69094108
13	14.2969262
14	13.90714287
15	13.53817154
16	13.18479909
17	12.83518739
18	12.49954095
19	12.16312885
20	11.84262493
21	11.5340839
22	11.22341003
23	10.92209002
24	10.63941096
25	10.35728805
26	10.07836581
27	9.811040468
28	9.55732341
29	9.318532276
30	9.075338692
31	8.852104159
32	8.626933676
33	8.400496782
34	8.18857803
35	7.980425901
36	7.776455994
37	7.576692304
38	7.383977519
39	7.195188444
40	7.005333192
41	6.829129374
42	6.661132065
43	6.500078447
44	6.345606888
45	6.180680824
46	6.025283359
47	5.874559422
48	5.733884728
49	5.594530188
50	5.456589904
51	5.324571229
52	5.194214234
53	5.064822764
54	4.941532723
55	4.81808584
56	4.696608787
57	4.582546646
58	4.472375363
59	4.371551756
60	4.270934505
61	4.17213595
62	4.06897308
63	3.972845976
64	3.880963696
65	3.791021242
66	3.699550514
67	3.615396394
68	3.531633428
69	3.451548675
70	3.374775482
71	3.298244355
72	3.226698885
73	3.153340408
74	3.081440576
75	3.011676003
