iter	Passed	Remaining
0	1	126
1	2	119
2	3	125
3	5	121
4	6	119
5	7	115
6	8	115
7	9	112
8	10	109
9	12	110
10	13	105
11	13	101
12	14	98
13	15	95
14	16	92
15	17	90
16	18	88
17	18	86
18	19	84
19	20	83
20	21	81
21	22	79
22	23	78
23	24	76
24	25	75
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	33	70
32	34	70
33	35	68
34	36	67
35	37	66
36	38	64
37	38	63
38	39	62
39	40	61
40	41	59
41	42	58
42	43	57
43	44	56
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	30
69	67	29
70	68	28
71	69	27
72	70	25
73	71	24
74	71	23
75	72	22
76	73	21
77	74	21
78	76	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	81	13
86	82	12
87	84	11
88	85	10
89	86	9
90	87	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
